search,heuristic,task,expandedNodes,searchTime

greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task01.pddl,11,0.0048
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task02.pddl,16,0.0024
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task03.pddl,175,0.016
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task04.pddl,22,0.0031
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task05.pddl,31,0.0065
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task06.pddl,753,0.092
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task07.pddl,765,0.095
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task08.pddl,27271,6.4
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task09.pddl,176366,4.9e+01
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task10.pddl,21,0.0036
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task11.pddl,31,0.0068
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task12.pddl,894,0.22
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task13.pddl,850,0.13
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task14.pddl,35595,8.3
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task15.pddl,33994,7.8
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task16.pddl,
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task17.pddl,
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task18.pddl,
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task19.pddl,
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task20.pddl,
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task21.pddl,19004,4.2e+01
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task22.pddl,
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task23.pddl,
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task24.pddl,
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task25.pddl,
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task26.pddl,
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task27.pddl,
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task28.pddl,
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task29.pddl,
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task30.pddl,
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/blocks/task01.pddl,97,0.0091
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/blocks/task02.pddl,67,0.005
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/blocks/task03.pddl,64,0.0064
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/blocks/task04.pddl,467,0.036
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/blocks/task05.pddl,567,0.04
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/blocks/task06.pddl,756,0.051
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/blocks/task07.pddl,2166,0.19
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/blocks/task08.pddl,4863,0.27
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/blocks/task09.pddl,6513,0.52
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/blocks/task10.pddl,37185,2.6
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/blocks/task11.pddl,63461,4.1
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/blocks/task12.pddl,58143,6.1
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/blocks/task13.pddl,519054,4.5e+01
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/blocks/task14.pddl,629328,5.2e+01
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/blocks/task15.pddl,433793,3.7e+01
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/blocks/task16.pddl,7891945,7.9e+02
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/blocks/task17.pddl,5408820,5.2e+02
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/blocks/task18.pddl,5976593,5.8e+02
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/blocks/task19.pddl,
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/blocks/task20.pddl,
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/blocks/task21.pddl,
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/blocks/task22.pddl,
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/blocks/task23.pddl,
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/blocks/task24.pddl,
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/blocks/task25.pddl,
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/blocks/task26.pddl,
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/blocks/task27.pddl,
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/blocks/task28.pddl,
greedy_best_first_search,BlindHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/blocks/task29.pddl,
