search,heuristic,task,expandedNodes,searchTime

greedy_best_first_search,EuclidianHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task01.pddl,11,0.004
greedy_best_first_search,EuclidianHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task02.pddl,16,0.0027
greedy_best_first_search,EuclidianHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task03.pddl,105,0.038
greedy_best_first_search,EuclidianHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task04.pddl,22,0.009
greedy_best_first_search,EuclidianHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task05.pddl,31,0.015
greedy_best_first_search,EuclidianHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task06.pddl,372,0.47
greedy_best_first_search,EuclidianHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task07.pddl,445,0.54
greedy_best_first_search,EuclidianHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task08.pddl,6077,1.9e+01
greedy_best_first_search,EuclidianHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task09.pddl,8479,5e+01
greedy_best_first_search,EuclidianHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task10.pddl,21,0.011
greedy_best_first_search,EuclidianHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task11.pddl,31,0.015
greedy_best_first_search,EuclidianHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task12.pddl,318,0.48
greedy_best_first_search,EuclidianHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task13.pddl,422,0.62
greedy_best_first_search,EuclidianHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task14.pddl,3823,1.4e+01
greedy_best_first_search,EuclidianHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task15.pddl,5676,2.2e+01
greedy_best_first_search,EuclidianHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task16.pddl,57400,4.6e+02
greedy_best_first_search,EuclidianHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task17.pddl,45294,6.1e+02
greedy_best_first_search,EuclidianHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task18.pddl,
greedy_best_first_search,EuclidianHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task19.pddl,51586,9.3e+02
greedy_best_first_search,EuclidianHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task20.pddl,
greedy_best_first_search,EuclidianHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task21.pddl,2192,1.2e+02
greedy_best_first_search,EuclidianHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task22.pddl,
greedy_best_first_search,EuclidianHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task23.pddl,
greedy_best_first_search,EuclidianHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task24.pddl,
greedy_best_first_search,EuclidianHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task25.pddl,
greedy_best_first_search,EuclidianHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task26.pddl,
greedy_best_first_search,EuclidianHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task27.pddl,
greedy_best_first_search,EuclidianHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task28.pddl,
greedy_best_first_search,EuclidianHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task29.pddl,
greedy_best_first_search,EuclidianHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task30.pddl,
greedy_best_first_search,EuclidianHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/blocks/task01.pddl,32,0.0059
greedy_best_first_search,EuclidianHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/blocks/task02.pddl,15,0.0038
greedy_best_first_search,EuclidianHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/blocks/task03.pddl,11,0.0035
greedy_best_first_search,EuclidianHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/blocks/task04.pddl,20,0.0057
greedy_best_first_search,EuclidianHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/blocks/task05.pddl,88,0.015
greedy_best_first_search,EuclidianHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/blocks/task06.pddl,53,0.01
greedy_best_first_search,EuclidianHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/blocks/task07.pddl,31,0.0071
greedy_best_first_search,EuclidianHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/blocks/task08.pddl,65,0.013
greedy_best_first_search,EuclidianHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/blocks/task09.pddl,132,0.024
greedy_best_first_search,EuclidianHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/blocks/task10.pddl,44,0.014
greedy_best_first_search,EuclidianHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/blocks/task11.pddl,328,0.076
greedy_best_first_search,EuclidianHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/blocks/task12.pddl,414,0.087
greedy_best_first_search,EuclidianHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/blocks/task13.pddl,934,0.24
greedy_best_first_search,EuclidianHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/blocks/task14.pddl,309,0.083
greedy_best_first_search,EuclidianHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/blocks/task15.pddl,122,0.033
greedy_best_first_search,EuclidianHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/blocks/task16.pddl,1409,0.4
greedy_best_first_search,EuclidianHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/blocks/task17.pddl,1702,0.49
greedy_best_first_search,EuclidianHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/blocks/task18.pddl,198,0.06
greedy_best_first_search,EuclidianHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/blocks/task19.pddl,235,0.1
greedy_best_first_search,EuclidianHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/blocks/task20.pddl,6261,2.3
greedy_best_first_search,EuclidianHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/blocks/task21.pddl,931,0.37
greedy_best_first_search,EuclidianHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/blocks/task22.pddl,655,0.26
greedy_best_first_search,EuclidianHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/blocks/task23.pddl,13467,5.8
greedy_best_first_search,EuclidianHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/blocks/task24.pddl,1617,0.68
greedy_best_first_search,EuclidianHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/blocks/task25.pddl,51496,2.6e+01
greedy_best_first_search,EuclidianHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/blocks/task26.pddl,786,0.39
greedy_best_first_search,EuclidianHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/blocks/task27.pddl,2037,1.3
greedy_best_first_search,EuclidianHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/blocks/task28.pddl,3966,2.3
greedy_best_first_search,EuclidianHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/blocks/task29.pddl,1849,1.3
