search,heuristic,task,expandedNodes,searchTime

greedy_best_first_search,EuclidianLandmarkUnequalAxisHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task01.pddl,9,0.0042
greedy_best_first_search,EuclidianLandmarkUnequalAxisHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task02.pddl,10,0.0077
greedy_best_first_search,EuclidianLandmarkUnequalAxisHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task03.pddl,20,0.019
greedy_best_first_search,EuclidianLandmarkUnequalAxisHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task04.pddl,21,0.014
greedy_best_first_search,EuclidianLandmarkUnequalAxisHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task05.pddl,22,0.018
greedy_best_first_search,EuclidianLandmarkUnequalAxisHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task06.pddl,48,0.12
greedy_best_first_search,EuclidianLandmarkUnequalAxisHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task07.pddl,48,0.12
greedy_best_first_search,EuclidianLandmarkUnequalAxisHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task08.pddl,3609,1.5e+01
greedy_best_first_search,EuclidianLandmarkUnequalAxisHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task09.pddl,11341,8.5e+01
greedy_best_first_search,EuclidianLandmarkUnequalAxisHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task10.pddl,19,0.016
greedy_best_first_search,EuclidianLandmarkUnequalAxisHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task11.pddl,22,0.022
greedy_best_first_search,EuclidianLandmarkUnequalAxisHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task12.pddl,40,0.15
greedy_best_first_search,EuclidianLandmarkUnequalAxisHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task13.pddl,44,0.13
greedy_best_first_search,EuclidianLandmarkUnequalAxisHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task14.pddl,4611,2.2e+01
greedy_best_first_search,EuclidianLandmarkUnequalAxisHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task15.pddl,113,0.57
greedy_best_first_search,EuclidianLandmarkUnequalAxisHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task16.pddl,117792,1.1e+03
greedy_best_first_search,EuclidianLandmarkUnequalAxisHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task17.pddl,
greedy_best_first_search,EuclidianLandmarkUnequalAxisHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task18.pddl,
