search,heuristic,task,expandedNodes,searchTime

greedy_best_first_search,EuclideanLandmarkUnequalAxisHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task01.pddl,9,0.0053
greedy_best_first_search,EuclideanLandmarkUnequalAxisHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task02.pddl,10,0.0041
greedy_best_first_search,EuclideanLandmarkUnequalAxisHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task03.pddl,20,0.012
greedy_best_first_search,EuclideanLandmarkUnequalAxisHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task04.pddl,21,0.0097
greedy_best_first_search,EuclideanLandmarkUnequalAxisHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task05.pddl,22,0.028
greedy_best_first_search,EuclideanLandmarkUnequalAxisHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task06.pddl,45,0.086
greedy_best_first_search,EuclideanLandmarkUnequalAxisHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task07.pddl,45,0.1
greedy_best_first_search,EuclideanLandmarkUnequalAxisHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task08.pddl,3667,1.2e+01
greedy_best_first_search,EuclideanLandmarkUnequalAxisHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task09.pddl,12129,7.4e+01
greedy_best_first_search,EuclideanLandmarkUnequalAxisHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task10.pddl,19,0.017
greedy_best_first_search,EuclideanLandmarkUnequalAxisHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task11.pddl,22,0.014
greedy_best_first_search,EuclideanLandmarkUnequalAxisHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task12.pddl,40,0.1
greedy_best_first_search,EuclideanLandmarkUnequalAxisHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task13.pddl,45,0.1
greedy_best_first_search,EuclideanLandmarkUnequalAxisHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task14.pddl,5514,2e+01
greedy_best_first_search,EuclideanLandmarkUnequalAxisHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task15.pddl,109,0.45
greedy_best_first_search,EuclideanLandmarkUnequalAxisHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task16.pddl,117997,8.7e+02
