search,heuristic,task,expandedNodes,searchTime

greedy_best_first_search,LandmarkHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task01.pddl,9,0.0034
greedy_best_first_search,LandmarkHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task02.pddl,15,0.0039
greedy_best_first_search,LandmarkHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task03.pddl,50,0.0039
greedy_best_first_search,LandmarkHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task04.pddl,21,0.0038
greedy_best_first_search,LandmarkHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task05.pddl,27,0.0062
greedy_best_first_search,LandmarkHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task06.pddl,152,0.021
greedy_best_first_search,LandmarkHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task07.pddl,152,0.02
greedy_best_first_search,LandmarkHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task08.pddl,5950,1.2
greedy_best_first_search,LandmarkHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task09.pddl,26738,7.3
greedy_best_first_search,LandmarkHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task10.pddl,19,0.0046
greedy_best_first_search,LandmarkHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task11.pddl,27,0.0053
greedy_best_first_search,LandmarkHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task12.pddl,165,0.023
greedy_best_first_search,LandmarkHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task13.pddl,153,0.024
greedy_best_first_search,LandmarkHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task14.pddl,7440,1.7
greedy_best_first_search,LandmarkHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task15.pddl,7958,1.7
greedy_best_first_search,LandmarkHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task16.pddl,375311,1.2e+02
greedy_best_first_search,LandmarkHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task17.pddl,
greedy_best_first_search,LandmarkHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task18.pddl,
greedy_best_first_search,LandmarkHeuristic,/gdisk/ki/home/mgehring/pyperplan-main/benchmarks/airport/task19.pddl,
